contact_id,email,phone_number,notification_channel,account_creation_date
509bce6f2ab7,kristinwalter@example.com,+255743987088,e-Mail,2025-02-10T16:35:38.850741
785991de5951,rose31@example.net,+250764736708, Push ,2024-08-02T09:52:04.349525
3f41b9e7337c,antonio53@example.com,+254786289723, In App ,2024-11-11T23:01:17.967433
e4911798fd29,ramireztracey@example.org,+256780212750,e-Mail,2024-11-20T20:46:44.137142
fd0b3c94340c,browntimothy@example.com,+255767532515,sms,2024-06-07T11:45:54.603433
b75b0ae02860,russellbeasley@example.com,+250749007086, SMS ,2024-10-30T07:21:47.792061
a6355579620e,schmittcaroline@example.com,+254719295690,In-app ,2024-05-20T13:36:09.886848
7e246717d81f,jacqueline45@example.com,+256768821466,e-Mail,2024-11-19T13:06:52.555117
efedffce9f93,ctucker@example.com,+255784061945, Push ,2024-11-21T23:12:46.021382
7b79d7e32a51,vincentwhitaker@example.com,+250703162017,In-app ,2025-02-01T18:16:29.649061
773da1a43001,fosterkyle@example.com,+254799689306,sms,2024-06-30T10:25:22.584982
13ac4c8d49b7,kmaldonado@example.net,+256756817789, In App ,2024-07-01T00:40:28.847463
95592b39a017,colelisa@example.net,+255777635746,Email,2024-12-20T02:48:55.588457
b38c2f82d52a,mccormickdeborah@example.org,+250742906043,Email,2024-10-05T13:06:28.294192
7e50bd141a49,stephaniepeterson@example.com,+254775501351,In-app ,2024-06-14T08:02:00.076161
af21e7d5fd1c,karen73@example.net,+256722539460,Email,2025-02-18T03:42:25.073115
976303b8c7e0,joshuawhitehead@example.org,+255797064027,sms,2025-03-13T12:20:57.118806
4e772e15d774,scottmary@example.net,+250782108100,sms,2024-05-12T15:34:49.690038
a879b3eb01cd,myerstheodore@example.net,+254761697441,Email,2024-12-09T05:05:49.693931
ee7c80a0ebe1,ninastewart@example.com,+256797376107,sms,2025-01-07T15:26:21.042477
bb5bfcdb1174,amymorris@example.org,+255793192995, In App ,2024-07-05T21:25:07.615740
a241a8c0ab6a,martinezjoel@example.net,+250773282115, Push ,2024-09-24T00:33:55.036186
1259dee569c1,heather73@example.org,+254745854430,In-app ,2024-07-05T14:40:35.180522
1b7db803c063,tanner82@example.net,+256743773624, SMS ,2025-02-12T13:10:33.249151
b69e9708b464,kevinmartin@example.net,+255762343859,Email,2025-02-25T11:06:35.628585
124353e532bf,frykelli@example.com,+250760848097,Email,2024-11-26T17:37:54.345807
5dc94d4af744,jessica56@example.org,+254785623578,sms,2024-05-25T07:29:16.500993
3a2ca310163b,tyler16@example.net,+256708742452,e-Mail,2025-02-19T18:34:31.641938
29e436e29bd7,andersoncolin@example.com,+255702659100, SMS ,2024-09-21T23:13:34.460815
319f656ba08a,xcabrera@example.com,+250763649856, Push ,2024-09-19T04:22:10.189291
72e394c6d5d6,andrewedwards@example.org,+254746962663, In App ,2024-12-14T09:42:29.472161
05b100dbfea4,kellie37@example.com,+256773063514, In App ,2024-11-09T09:05:16.031192
5fb4db6eba87,danawilliams@example.com,+255788088833, Push ,2024-07-11T11:06:12.757275
94abfa7f4c8d,osbornrandy@example.com,+250776643605,Push Notification,2024-07-22T11:24:37.520685
dd3900a0f6b7,doylekrystal@example.net,+254747645623, SMS ,2024-06-16T16:11:18.267422
091bae87be9b,zparker@example.net,+256719475952,sms,2025-01-28T23:04:25.668511
3eeb708cde26,brownamy@example.net,+255798654873,Push Notification,2025-01-31T22:06:08.896489
27bf87475a66,,+250770635881,sms,2024-10-11T06:30:09.390646
4842d36303f4,desireebailey@example.org,+254736450074, Push ,2024-09-29T04:36:56.729758
66f609523361,sanchezbradley@example.com,+256714315370,In-app ,2025-02-18T07:30:55.335706
427fa7bd3228,wwilliams@example.net,+255743711241,Push Notification,2025-04-23T16:11:40.586175
f797713e59e4,brettbennett@example.net,779030776,Push Notification,2024-11-08T05:36:17.756656
ba6002206a57,wferguson@example.com,+254751683637,In-app ,2025-03-28T15:35:48.589845
202600990526,jonathan77@example.com,+256716715079,Push Notification,2025-01-16T15:16:32.636401
9d11ba620174,williamsonelizabeth@example.net,+255715927083, SMS ,2024-05-16T09:05:21.929856
6173b97d5b7a,scunningham@example.org,+250727406825, In App ,2024-11-06T04:27:37.668737
a8d429df90e6,whitemelissa@example.org,+254704431195,Email,2025-03-21T11:20:56.056707
350bf43d5001,unovak@example.org,+256787408409, SMS ,2025-02-11T09:08:25.384240
12cbe11a04d1,lopezshane@example.net,+255770013672, In App ,2025-01-23T19:27:52.685238
987a8611c775,wardsheryl@example.net,+250763435141,Push Notification,2024-06-29T13:38:07.826241
26ee047ed26e,yfaulkner@example.org,+254705908278, SMS ,2024-06-17T09:03:30.012735
fa95b30cc405,iaguilar@example.net,+256784578180,e-Mail,2025-02-13T01:00:10.887922
052c6a70446e,michaeljohnson@example.org,+255714835362,sms,2024-06-06T08:30:30.245672
b7503311fce7,anita73@example.com,+250746006828,Email,2024-06-09T16:38:01.378703
4d5e4b83ae5c,candice96@example.net,+254724424047, Push ,2025-02-14T16:04:10.807652
aedebf903c5a,angelaburns@example.org,+256734624039,Push Notification,2024-11-01T05:35:31.548641
b2c8d0b41cda,gary79@example.net,+255716220954,Email,2025-03-01T10:06:49.867473
b1d55afb7197,michelle96@example.org,+250750841745, Push ,2025-04-28T15:33:32.085890
92152cce3f58,johndawson@example.org,+254751403560, SMS ,2025-01-01T18:23:55.177572
71ff8992bcdb,troymorris@example.com,+256780807676, In App ,2025-03-04T01:53:21.654683
f767c7a26b67,elizabeth20@example.com,+255705465047,sms,2025-04-27T07:50:20.863814
07b0469ca9b7,patrickli@example.org,+250768503871,In-app ,2025-01-07T03:31:59.078226
857f6c93acc7,deanna38@example.net,+254744580436, In App ,2024-06-04T08:28:37.031667
fe6038272887,smithcarlos@example.com,+256719532981,Email,2025-04-04T18:22:51.787591
6c541b3304da,collinssamuel@example.org,+255743555226, Push ,2024-07-11T21:00:15.672689
fe8a9c3397d1,rogersruben@example.net,+250769154005,Push Notification,2024-09-02T06:57:28.184008
67f7da8d6fe9,tranrobin@example.net,+254726030393, Push ,2024-07-21T01:57:44.082680
530a1445efdc,brittany73@example.net,+256702696715,e-Mail,2024-08-26T04:51:54.779468
01b8707333cd,phyllismeyer@example.net,+255718775924, SMS ,2024-06-05T15:00:57.761136
d98067ad2cf3,danielcole@example.com,+250759220937,Push Notification,2025-01-09T14:12:58.967129
6221b9e8da62,codygarcia@example.org,+254758207955,sms,2024-11-02T04:41:17.422572
442a40c7bca5,ycrawford@example.net,+256761831094,e-Mail,2024-12-20T14:23:23.923492
c4d18e2016a8,kcooper@example.net,+255728190639, Push ,2025-02-13T19:52:10.991745
87eb5e578a35,gregorywatkins@example.net,+250758332398,Email,2024-11-09T14:01:06.695652
a0070da6dca2,kimmathis@example.com,+254716077212,Push Notification,2025-03-29T21:52:53.614505
0486a433c5ee,david09@example.com,+256722725150,e-Mail,2024-11-19T21:58:55.599740
e7953cd09f66,kristin00@example.com,+255718664188, In App ,2025-02-22T18:18:50.675184
f5f191f169e9,morgantricia@example.com,+250739487534, In App ,2024-08-23T01:37:11.323125
c9ae846fead5,bgonzalez@example.org,+254728205297,In-app ,2024-08-15T06:45:59.725116
2b7b24f45fb5,karencontreras@example.org,+256798613809, SMS ,2024-09-14T23:28:51.067857
7cadaac8cc51,lindseymartinez@example.com,+255770908511,sms,2025-03-23T12:59:48.654723
cb1af4b17b44,buckleyanna@example.org,+250773082707, SMS ,2024-10-12T23:55:11.211190
a20ed0d0d4e6,megan13@example.org,+254795953273,Push Notification,2025-01-05T20:42:06.244742
b5a252c7a694,bryantsamantha@example.net,+256799862293,e-Mail,2024-08-20T07:03:15.318421
b143b2087de7,mercedesholland@example.net,+255728770218, SMS ,2024-06-27T09:08:41.965746
ae44574dacc0,asilva@example.net,+250739483027,e-Mail,2025-01-12T17:58:30.902113
569c793c6dde,qbright@example.com,+254705376229, In App ,2025-02-02T05:47:19.186459
46230538ee7e,julieparker@example.com,+256761839209, Push ,2024-08-01T03:06:14.164040
70240f3f3763,crystal25@example.net,+255794509777,e-Mail,2025-04-26T02:30:25.213751
441bd636ec1e,simsjohn@example.net,+250763820265,In-app ,2024-04-30T08:45:08.741964
f2166d15a9fe,lawrencegary@example.com,+254729570326,In-app ,2025-03-23T21:08:15.858476
cccf95936014,robertroach@example.net,+256756612471, SMS ,2025-01-10T00:13:55.962941
6c61a23f01a4,fhernandez@example.net,+255733398426,sms,2024-07-13T12:25:10.230448
2879649a1350,rfriedman@example.net,+250739925815, In App ,2024-12-31T20:11:48.784248
53b30f3bc40c,ywhite@example.com,+254786496138,e-Mail,2024-06-16T01:23:18.828241
b77dd0b98eff,rreed@example.net,+256784771518, SMS ,2024-11-25T06:35:26.514011
3a9feaf0befe,bmcgee@example.org,+255767484869,In-app ,2024-07-23T11:46:38.959725
2bb77f4766b6,michael48@example.net,+250740430206,Push Notification,2024-08-27T21:48:58.503858
c48fb9385612,tamarasmith@example.net,+254794899497,Push Notification,2024-08-30T02:04:05.778642
a92184b78f1c,devonmorrison@example.net,+256721973458, Push ,2024-09-16T03:41:03.339898
1c23c51e83a8,brianbrown@example.com,+255756413223,Push Notification,2024-11-23T01:54:04.847562
6db9cbbb460f,tammy00@example.net,+250756449413,In-app ,2024-12-21T00:19:03.464877
5de6fffac020,ayalacolleen@example.net,+254708736195,e-Mail,2024-06-15T03:57:21.153287
e8541f421fd3,sean99@example.org,+256727419499,e-Mail,2024-08-13T21:13:34.485590
41db6bbc707f,simsjason@example.net,+255700250714,Email,2024-05-14T16:13:01.286514
08a7f0a0898e,andre18@example.org,+250768796639,Push Notification,2025-02-12T17:43:12.359895
eaf7bdf1ebca,kennetheaton@example.net,756565001, SMS ,2025-02-22T22:21:04.594804
539b50400ab7,robertscarlos@example.org,+256722309776, SMS ,2024-06-09T12:34:39.301430
c340bb3b56f9,jenniferdavidson@example.com,+255767961516,sms,2024-12-25T12:09:39.883526
e525d4025f46,arnoldamy@example.net,+250724746926, SMS ,2024-05-26T04:45:42.530940
4f2460f33a05,jillwebb@example.com,+254735356366,Push Notification,2024-12-08T22:18:57.206810
aad734fadf7f,pdiaz@example.org,+256747144777, Push ,2024-12-21T12:38:10.284612
48de98a320a2,cjohnson@example.org,+255770192685,In-app ,2025-01-15T15:31:38.202771
2f04f8da2418,laurahoover@example.org,+250785268925,sms,2025-02-22T15:10:17.733446
1108b0e164ae,princekimberly@example.net,+254757637099, In App ,2024-12-09T04:33:31.690775
7eb23a76086e,meyernicholas@example.org,+256778191422,Email,2025-02-02T09:09:32.816295
d936f60d0210,seanlyons@example.org,+255746078764, In App ,2024-09-10T21:01:18.922695
023e4ab0c660,bautistalori@example.net,+250701125334, Push ,2024-07-18T15:48:31.062113
c744f972d21c,michael43@example.net,+254708616767,sms,2024-12-29T05:55:14.407348
998b8fb6afe7,susan77@example.net,+256711820409,In-app ,2024-11-11T02:57:21.253831
45e553243e94,ian37@example.net,+255748694797, SMS ,2024-08-11T14:08:07.522680
f0e61e0f4496,travis84@example.com,+250742434268,Email,2025-02-01T19:00:18.857667
ef48acee68f5,amyyoung@example.com,+254709032978,In-app ,2024-11-03T22:17:08.780682
abbeba0b77ad,oporter@example.net,+256766566182, In App ,2024-07-23T18:50:07.588182
70d1a68493d8,tiffanymitchell@example.com,+255714197183, SMS ,2025-04-04T00:08:59.270851
17168b719a7e,ivanjohnson@example.net,+250767836597, Push ,2024-08-13T01:47:01.507056
a6d7007f2490,davidroberson@example.org,+254746896133,In-app ,2024-05-29T01:35:02.183969
e96c90762702,zfernandez@example.org,+256702295280, In App ,2024-10-12T09:46:26.192830
6c5f744d1d6d,oclayton@example.com,+255713112389, In App ,2025-02-14T02:35:29.781566
eb9eca77c6f2,campbelldavid@example.com,+250768392074, SMS ,2024-12-10T06:41:30.033956
079a528bca07,hclayton@example.net,+254723160459,Email,2025-04-11T05:42:25.790929
fdc2264e5ab5,teresayoung@example.com,+256761466246, In App ,2024-12-14T10:55:36.268239
a800fe62b27e,linda73@example.org,+255770167580, In App ,2025-01-31T01:56:45.602910
31a4dd242ef3,nicoleharvey@example.com,+250796937905, SMS ,2024-06-26T05:21:20.630238
433b493b9f33,hbarrett@example.net,+254730415308,Push Notification,2025-02-27T16:55:42.304150
fcb8b77d6f34,hlopez@example.net,+256775915826,Push Notification,2024-08-03T17:53:59.802484
ebfa9f5b8c4c,megan66@example.net,+255793059206,In-app ,2024-07-03T13:08:11.943916
2bc4441847e3,samantha88@example.net,+250770315622,e-Mail,2025-03-19T20:11:43.018069
72104477ed56,larsonkevin@example.net,+254744076445,In-app ,2024-05-26T20:33:15.422240
656e6f4385bd,alvarezjulie@example.net,+256756085576, Push ,2024-12-30T16:44:55.503754
cdd27b2478a2,carrillogary@example.com,+255715384892,In-app ,2024-08-24T18:46:21.779293
e7d84492bb5e,ana92@example.net,+250771285399,In-app ,2025-02-16T09:57:22.043453
6b8309a4da38,tromero@example.org,+254772374513, SMS ,2024-08-05T18:03:56.006698
5032f20c4029,raymondstacy@example.org,+256718707561,e-Mail,2024-08-17T01:56:34.445437
5171b2a12751,dianacunningham@example.org,+255780478454, SMS ,2024-06-18T06:33:08.871978
a12cdda32547,howardhailey@example.com,+250785011743,Push Notification,2024-06-06T15:45:23.918581
767cad9c9295,dwatts@example.org,+254797580271,Email,2025-04-10T17:01:54.774571
34093d84c83a,steven64@example.net,+256712606271,Push Notification,2024-05-12T23:53:39.080678
88de14a8685d,jennifermartinez@example.org,+255792765377,In-app ,2024-10-10T08:10:51.887543
7e114c0ebdcd,susansmith@example.com,+250771841973,Email,2024-06-20T11:25:02.722277
1d3841fde14c,estradamary@example.com,+254728745509,Push Notification,2024-08-08T05:41:42.551835
17c824ccb3c5,heathersalazar@example.org,+256783280795,In-app ,2024-10-01T17:38:31.586171
4f8cc62d80d6,mclaughlinjared@example.net,+255727949138, In App ,2024-10-25T12:59:59.024819
b3e9432e3347,brewertimothy@example.net,+250730407046,In-app ,2024-11-22T10:51:12.867635
a7b31fc1538e,janet50@example.com,+254799077944, In App ,2024-08-09T02:16:09.082783
1f7cf4ece06e,stevensjennifer@example.net,+256727001664, Push ,2025-04-01T00:12:07.644201
9be5424b71cd,mullenanita@example.org,+255716548649,In-app ,2024-08-23T20:35:03.118819
52f44efef0f0,tjensen@example.com,+250739251761,Email,2024-05-17T04:28:38.788190
7f187b8e619e,erodriguez@example.com,+254777387239,In-app ,2024-07-19T09:33:08.500519
9870fae9bc9d,bmueller@example.net,+256736831711, Push ,2024-09-26T15:57:23.068461
8e54627b8884,shermandonna@example.com,+255711679879,In-app ,2025-02-04T09:14:05.372370
073597fd2ba6,michelle36@example.net,+250724367848, Push ,2025-03-04T06:00:14.996289
99f576a554ea,taylorlinda@example.com,+254778806218, In App ,2024-06-13T12:21:27.491831
f65fe4cb023a,thomasjessica@example.com,+256731395111,In-app ,2025-04-02T01:51:55.787736
e101278d968c,bryan79@example.org,+255743878837, In App ,2024-11-24T07:03:57.496275
c83950826285,toddlloyd@example.org,+250790161042, SMS ,2024-05-03T20:19:26.638966
32314abc889d,zsmith@example.com,+254741419771,sms,2024-10-19T14:39:34.022611
8747a8f56676,chambersmarie@example.org,+256795323558, SMS ,2025-01-27T06:10:30.142391
2ea83db14e3b,fowlersandra@example.com,+255776078277,Email,2024-06-11T11:30:51.979302
65a871e82dda,dakota11@example.net,+250752535370, SMS ,2024-09-19T01:33:47.533836
97b95f72e17f,mathew46@example.org,713026739,e-Mail,2025-02-19T08:02:14.371515
bfe81cc23db1,yprice@example.net,+256731266843,In-app ,2024-10-23T08:23:49.841173
55bb2aa7c8c1,jacquelineanderson@example.org,+255792751134, Push ,2024-11-26T06:13:45.696145
04a0266bd001,kathrynwatkins@example.com,+250724574882,e-Mail,2025-02-27T23:05:13.753854
44788ddde6df,nschwartz@example.org,+254721642911,Push Notification,2024-10-23T12:27:50.043595
eb7187c8e1b1,hogangina@example.com,+256752365939, In App ,2024-11-08T07:25:16.530886
c8b7ed91611b,coreyrojas@example.org,+255785060175,e-Mail,2025-01-17T03:28:12.562785
9473c8a0d30f,cassandra92@example.net,+250723758904, SMS ,2025-01-06T11:34:30.936204
3babd94a5541,simmonsphillip@example.net,+254766033970,sms,2025-04-02T09:53:17.448506
910ecc4d6b2a,kristywood@example.com,+256759580344, Push ,2024-08-17T23:56:54.179533
1786e1c2ed6b,michael81@example.net,+255782722589,e-Mail,2025-03-16T09:07:10.060071
6e62eaa7a900,zoliver@example.net,+250717797160, In App ,2024-09-01T17:59:50.101577
6c3af20201e4,bryanwiggins@example.org,+254792046854,Email,2024-12-13T18:22:35.355541
b657b3522d1e,autumn74@example.com,+256760798918, In App ,2025-04-12T21:45:54.197328
190888319fc7,laurenchandler@example.com,+255757669274,sms,2025-04-02T12:47:41.927807
2d014e3f5edb,ulee@example.net,+250726360593,e-Mail,2024-07-18T19:05:01.050684
6b5af521b574,ltaylor@example.net,+254753286885, Push ,2025-03-18T22:06:30.110296
b3cac1d6ef51,mary47@example.net,+256797861926,e-Mail,2025-01-13T01:40:43.287536
599e79555104,brooksjessica@example.org,+255720961855,e-Mail,2024-12-03T09:33:41.385202
92bb09fb2ea8,fergusonmichael@example.org,+250777202355,e-Mail,2025-02-01T22:54:26.859668
c6221692731f,mendozalarry@example.com,+254710637380,sms,2025-02-26T07:49:06.957275
90fa1e744bc0,johnsondonna@example.net,+256757227264,In-app ,2025-04-21T23:59:41.610950
487aad183f9a,williamjones@example.net,+255718679306, SMS ,2024-05-09T08:18:08.203431
ec00f63fcc06,rickjuarez@example.com,+250726800216,Email,2025-01-08T15:29:21.832012
c4b2a26257f6,xcrosby@example.org,+254778891231, Push ,2025-01-04T14:18:32.834338
a1438e825e56,tramirez@example.net,+256765116556,In-app ,2025-04-20T19:27:05.357758
082c9ee40dca,wolfdonna@example.net,+255773620871, Push ,2025-02-25T22:08:37.369745
c1bfaf9dda28,carrolltracy@example.net,+250736730238,In-app ,2025-03-08T21:32:21.560467
08d8240c863e,johnwong@example.net,+254769280458, SMS ,2024-05-08T11:37:17.233219
8e1ba429ec0d,vazquezjamie@example.com,+256768458920, SMS ,2025-01-07T20:25:43.903179
2ceb63a8efaf,pearsonkevin@example.com,+255782580756,In-app ,2025-01-15T19:04:11.371514
9e73c0dfddba,steven32@example.net,+250710287037,Push Notification,2025-04-06T07:00:34.518381
474f727ece16,donna20@example.net,+254735264846,sms,2024-11-19T03:06:56.063582
1dfdd903e3e8,vshaffer@example.org,+256774505493, Push ,2025-02-05T18:18:12.625877
7d8fd10e812b,vazquezkristina@example.org,+255704354972,sms,2025-02-09T02:34:29.946971
2f452c412f94,aruiz@example.com,+250767398215, Push ,2025-03-08T13:15:53.094055
d33b4c6742ac,usparks@example.com,+254731718676, SMS ,2024-08-18T06:10:48.984444
bb932e82bd3a,mwilliamson@example.com,+256785436404,Email,2024-11-18T15:45:49.294259
a6bee37a2b3b,robertortiz@example.org,+255711045998,Email,2024-08-03T21:17:38.959700
bebd820234dc,modonnell@example.net,+250716166264,Push Notification,2024-07-15T04:04:22.799686
18134fdfb24a,rsavage@example.net,+254785093700, SMS ,2025-03-15T07:15:22.037196
8e3f62250e2c,hellis@example.net,+256720325212,e-Mail,2024-05-11T18:11:01.497843
02bf103beed4,longbrittany@example.org,+255751919719,In-app ,2024-11-23T03:12:46.267990
bc7ba8a32340,gregory61@example.org,+250762938450,e-Mail,2024-05-16T10:33:38.867082
11ef6964ca8f,nshepherd@example.org,+254755580434,Email,2024-09-09T20:51:44.093880
9c6e39f418c8,palmerwilliam@example.com,+256763672321,Email,2024-06-21T22:28:23.308202
d33f525511aa,jasonmiller@example.net,+255742447952, SMS ,2025-03-14T21:15:03.026144
fd14c69cf133,cabreraheather@example.org,+250795868621,sms,2025-04-19T08:59:22.035882
006747606204,garciamelanie@example.com,+254715078450, Push ,2025-04-15T16:50:58.379054
fb17488a805b,ocooper@example.net,+256794585632,In-app ,2024-06-10T08:53:54.074249
49765db41ab6,agarcia@example.com,+255760502689,Push Notification,2025-02-14T18:17:05.260459
d8055fbcfce2,wlloyd@example.org,+250704972078,e-Mail,2025-02-09T07:56:40.107659
15c8a3cf07e4,ahammond@example.org,+254725065098,e-Mail,2024-10-30T10:23:31.976972
b4418fed6924,millerleroy@example.org,+256746194447,Push Notification,2025-03-22T16:02:54.242021
fa519bcbaf26,nicolemiller@example.net,+255744463126,Email,2025-03-18T20:08:06.103766
3c48d9131e6e,westashley@example.org,+250703135096,e-Mail,2024-09-30T01:30:46.236519
5fd8b3ba0387,hchapman@example.com,+254780666715, In App ,2024-10-01T03:20:20.237128
4088407dd0ee,ashley08@example.org,+256741086480,sms,2024-10-12T00:02:05.186865
911b362a8150,ymccullough@example.com,+255752303793,sms,2025-02-21T20:04:39.560618
67a4a28fc444,ann18@example.org,+250747148203,Push Notification,2025-04-13T14:07:07.598600
837029ec3b8f,henrysarah@example.com,+254714431024,sms,2024-07-27T05:56:53.459186
c938e9300770,hdavid@example.org,+256754451486,e-Mail,2024-08-25T11:14:38.622759
2d17a8b53b5b,ogriffin@example.net,+255789394925,In-app ,2025-03-18T07:39:13.665785
8b7f3f151093,brandon89@example.org,+250724374710,sms,2024-04-28T20:34:59.152544
88a4a50c422e,ifarmer@example.org,+254700837740,Email,2025-03-28T11:53:18.338479
790b8d59b792,christopheraustin@example.com,+256778502304, SMS ,2024-10-14T15:40:32.072767
20b6065f4e0a,nicoledaniel@example.com,+255726204408, In App ,2025-01-23T12:05:50.465701
5a958e18ce4b,brandonhull@example.net,+250783210494,Email,2025-03-03T01:07:09.504294
5ccd4e0054f0,underwoodapril@example.org,+254786160409,e-Mail,2024-10-03T10:11:04.775388
56060cb8e3b9,nmorales@example.com,+256708885154, In App ,2024-05-21T07:19:14.115808
49a0c64ee61d,michael79@example.com,+255735358716, SMS ,2024-08-26T12:41:26.967306
e3ad70447831,mcooper@example.net,+250739828551,Push Notification,2024-08-31T21:36:20.733882
ee8b26f0ccc1,lindsay63@example.com,+254799297173,e-Mail,2024-05-14T01:40:12.534942
67286b9b15d7,renee02@example.com,+256716634051,Email,2024-07-01T06:21:04.570225
1d79c6e1069f,samanthahines@example.net,+255766327027, Push ,2024-06-10T22:30:28.405449
24f9311fb69b,lstone@example.com,+250734541736,sms,2025-02-09T06:00:39.290356
680585e47aec,ronald76@example.com,+254726761860, SMS ,2025-03-02T08:22:37.605536
c21f651cbac8,james92@example.net,+256754610166,Push Notification,2024-05-24T17:14:57.372853
b625e6ffef1c,brooksbarbara@example.org,+255784226562,sms,2025-02-20T02:38:19.565638
6ab39c193525,glopez@example.com,+250726180806,Push Notification,2024-11-22T04:26:55.749634
93eda5dc4d78,amandamendoza@example.org,+254752036891,Email,2024-05-24T05:14:48.481014
838973817d13,treed@example.com,+256703819958,Push Notification,2024-08-26T18:48:27.067687
21752c37e5cd,carneycharles@example.org,+255717477609,In-app ,2025-03-17T00:05:47.401302
e00c035ae6be,georgesmith@example.org,+250789731966,Email,2025-01-27T02:32:17.759957
4ae1398649a1,pwang@example.com,+254715766994, Push ,2024-07-16T14:41:15.158989
bcaa1dc3eb9e,nmartinez@example.org,+256741862605,Email,2024-06-28T16:07:12.127741
beac56e17004,xgregory@example.net,752413995,In-app ,2024-06-04T20:17:50.576894
89c771da0fe6,jphillips@example.com,+250785355351,In-app ,2025-01-30T20:31:07.761884
5605c7d88c9d,lauriehorton@example.org,+254712386277, SMS ,2025-02-19T11:50:57.975888
ac84f1792287,barbara34@example.com,+256747574482, SMS ,2024-10-30T23:47:08.528000
fe736f7c0914,nicholas97@example.org,+255788704932,sms,2025-03-06T14:09:10.563451
b74a0e1dc674,kelsey58@example.net,+250745303024, In App ,2024-09-24T23:09:27.897969
6392ae58d0b9,stonejacob@example.com,+254711626948,sms,2024-12-04T14:07:13.342759
a092ae82584c,daviskim@example.com,+256755671070,Email,2024-09-01T10:41:19.059880
435e8276d951,carternicholas@example.com,+255713342407,sms,2025-02-18T04:53:22.284880
ba9dce98e904,yvonne35@example.net,+250746707491,Push Notification,2024-07-14T17:59:54.465204
81b3304d00f3,morgan57@example.org,+254761267519,Push Notification,2025-01-04T06:45:21.593764
94be82179c18,johnjackson@example.net,+256789495666, Push ,2024-06-14T08:37:33.008073
919d9f6e2969,vkent@example.net,+255724738993, In App ,2024-10-25T08:12:59.430145
ad0f53eca822,lauren28@example.net,+250780344711,e-Mail,2025-04-12T02:57:37.531416
ba7149af3231,nwelch@example.com,+254723612324,Push Notification,2025-02-15T07:45:18.373044
bf7b17d162b2,jacquelinekelley@example.org,+256726940206,Push Notification,2024-09-18T22:30:18.264280
